{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_1', 'seed': 2022, 'lr': 0.0005, 'gpu': '1', 'ep': 500, 'lambda_': 1.0, 'epsilon': 0.2}
epoch : 258	 logprob : -0.02	 J : 0.03	 LOS : 133.4	 TPP(won) : 7700.0
epoch : 259	 logprob : -0.02	 J : 0.03	 LOS : 130.6	 TPP(won) : 7700.0
epoch : 260	 logprob : -0.02	 J : 0.03	 LOS : 128.4	 TPP(won) : 7700.0
epoch : 261	 logprob : -0.02	 J : 0.03	 LOS : 125.8	 TPP(won) : 7700.0
epoch : 262	 logprob : -0.02	 J : 0.03	 LOS : 128.4	 TPP(won) : 7700.0
epoch : 263	 logprob : -0.02	 J : 0.03	 LOS : 124.6	 TPP(won) : 7700.0
epoch : 264	 logprob : -0.02	 J : 0.03	 LOS : 132.2	 TPP(won) : 7700.0
epoch : 265	 logprob : -0.02	 J : 0.03	 LOS : 125.4	 TPP(won) : 7700.0
epoch : 266	 logprob : -0.1	 J : 0.16	 LOS : 132.0	 TPP(won) : 7700.0
epoch : 267	 logprob : -0.03	 J : 0.04	 LOS : 127.0	 TPP(won) : 7700.0
epoch : 268	 logprob : -0.02	 J : 0.03	 LOS : 128.0	 TPP(won) : 7700.0
epoch : 269	 logprob : -0.02	 J : 0.03	 LOS : 126.0	 TPP(won) : 7700.0
epoch : 270	 logprob : -0.02	 J : 0.03	 LOS : 130.6	 TPP(won) : 7700.0
epoch : 271	 logprob : -0.02	 J : 0.03	 LOS : 124.0	 TPP(won) : 7700.0
epoch : 272	 logprob : -0.02	 J : 0.03	 LOS : 125.4	 TPP(won) : 7700.0
epoch : 273	 logprob : -0.02	 J : 0.03	 LOS : 123.8	 TPP(won) : 7700.0
epoch : 274	 logprob : -0.02	 J : 0.03	 LOS : 130.8	 TPP(won) : 7700.0
epoch : 275	 logprob : -0.05	 J : 0.07	 LOS : 132.6	 TPP(won) : 7700.0
epoch : 276	 logprob : -0.02	 J : 0.03	 LOS : 124.8	 TPP(won) : 7700.0
epoch : 277	 logprob : -0.02	 J : 0.03	 LOS : 126.0	 TPP(won) : 7700.0
