PRODU_CODE,PRODU_NAME,PRODU_SHORT_NAME,LIG_CODE,LIG_NAME,MID_CODE,MID_NAME,SML_NAME,SML_CODE
8809585081068,"염색약(태평양,미쟝센,헬로버블,오렌지,30g)개",태)미쟝센헬로버블오렌지,21,H&BC,2102,헤어케어,염색약,210203
8801111904476,크)밀크볼딸기,크)밀크볼딸기,20,과자,2006,"캔디,껌,초콜릿",캔디,200603
8801104308267,"유산균(빙그레,토핑오트앤애플시나몬,125g,냉장)개",빙)토핑오트앤애플시나몬,12,유제품,1204,유음료,유산균,120403
8801115134435,"유음료(서울,딸기우유,200ml)개",서)딸기우유200,12,유제품,1204,유음료,유음료,120404
8801074255127,"맛살(한성,크래미,F,1Kg,냉동)개",한성)크래미,09,일배,0907,수산가공,맛살,090701
8809371050889,"(미사용)주방세제(원진,해피퐁,13kg,말통)개",해피퐁,22,세제,2203,주방세제,대용량주방세제,220301
8809072032948,"주방소품(대경피닉스,D형통대나무수저함)개",통대나무수저함,24,주방잡화,2402,조리용품,주방소품,240204
8801230161958,포스트잇656노랑,포스트잇656노랑,25,생활잡화,2509,잡화,"문구,팬시",250901
2100000631933,봉지깻잎(2kg/특/박스/국산),봉지깻잎(2kg/특/박스/국산),02,야채,0204,쌈채류,깻잎,020403
2100000626342,(미)수입절단연근채(1kg/특/봉/수입산),수입절단연근채(1kg/특/봉/수입산),02,야채,0205,나물류,수입나물,020504
2100000651146,"레몬(3입,팩,미국산)","레몬(3입,팩,미국산)",01,청과,0115,수입과일,레몬,011508
8801007879017,"만두(씨제이,비비고,수제진한고기,327g*2,냉동)개",씨)비비고수제진한고기만두,10,냉동식품,1006,만두류,만두,100603
8809153041166,"냉동과일(대정,웰프레쉬,냉동블루베리,1kg*10,캐나다산,냉동)개",웰프레쉬)블루베리,10,냉동식품,1004,농산냉동,냉동과일,100401
8809433001101,"주방소품(경도산업,실리콘푸드메쉬찜망,만두채반,320)개",실리콘푸드메쉬찜망,24,주방잡화,2402,조리용품,주방소품,240204
8801252028109,"지퍼백(크린랩,크린지퍼백,이중지퍼,대,25*30cm*20매)개",크린이중지퍼백대,24,주방잡화,2403,일회용품,"위생백,장갑",240306
8801284273898,"새우튀김(천일,왕,300g*10미*10,베트남산,냉동)개",천일)왕새우튀김,10,냉동식품,1002,간편조리,튀김류,100206
8801007039411,"밀가루(백설,강력,2,5kg*6)개",제당)강력밀가루2.5kg,18,조리가공,1801,분말가공,밀가루,180102
8809060160080,"주거세제(성진켐,리오락스,2kg)개",리오락스,22,세제,2202,주거세제,락스,220202
8801068372854,"호빵(삼립,야채호빵,360g,4입)개",삼립)야채호빵4입,11,베이커리,1103,베이커리,수수료,110301
8805332200874,키친)신비냄비양수18,키친)신비냄비양수18,24,주방잡화,2402,조리용품,"솥,냄비",240202
8801105911053,"탄산음료(해태,써니텐,250ml)개",해)써니텐,13,음료,1302,탄산음료,탄산소규격,130202
8801045423401,"부침가루(오뚜기,500g*20)개",오 부침가루500,18,조리가공,1801,분말가공,튀김가루,180106
8801007637099,"조미료(백설,요리의신,매콤볶음,90g*30)개",백설요리의신매콤볶음,17,조미료,1704,혼합조미료,다시다,170401
3052910056018,"시럽(모닌,레몬,1L*6)개",모닌)레몬시럽1000ml,14,커피/차류,1408,파우더/시럽,시럽류,140805
8809045620011,"첨가물(이슬나라,젤라틴,분말,420g*24,국내산)개",이슬나라)젤라틴420g,18,조리가공,1801,분말가공,기타첨가물,180101
8809270183565,A/S사선뒤집게,A/S사선뒤집게,24,주방잡화,2402,조리용품,조리도구,240203
200827,애플망고(box),애플망고(box),01,청과,0115,수입과일,애플망고(수입),011514
2100000625482,열무1관(특/단/청지/국산),열무1관(특/단/청지/국산),02,야채,0203,김치류,열무,020309
8801051168471,"샴푸(엘지,딕터그루트,지성,샴푸,400ml)개",닥터그루트지성샴푸400ml,21,H&BC,2102,헤어케어,샴푸,210202
8801097278011,"음료(동아오츠카,포카리스웨트이온워터,PET,500ml)개",동)포카리이온워터,13,음료,1303,스포츠음료,스포츠음료중,130303
8809138224041,업그레이드정리대(4단,업그레이드정리대(4단,25,생활잡화,2503,세탁용품,건조용품,250301
7702018977840,퓨전프로글라이드파워,퓨전프로글라이드파워,21,H&BC,2103,바디케어,면도용품,210301
8801094552206,"음료(콜라,식이섬유오렌지,망고 300ml*24입)개",콜(식이섬유오렌지망고300ml,13,음료,1301,과일음료,과즙대규격,130101
8801208145836,대림트레이(PSP)신18호100P,대림트레이(PSP)신18,24,주방잡화,2403,일회용품,일회용식기,240308
8801051043402,"액체세제(엘지,테크,특유취제거,리필,일반,2L)개","테크특유취제거,리필일반2L",22,세제,2201,세탁세제,액체세제,220104
9015340100458,"아동음료(서광,트위스트앤드링크사과,200ml*4입,상온)개",서)트위스트앤드링크사과,13,음료,1304,아동음료,아동음료,130401
8805584224055,홈)쿠키크럼블,홈)쿠키크럼블,10,냉동식품,1012,아이스크림,홈,101205
8808024019679,"커피(쟈뎅,카페모카,믹스,19g*60p*8)개",쟈뎅)모리 카페모카,14,커피/차류,1407,커피,레귤러커피,140701
8805194003330,서광)박하맛캔디,서광)박하맛캔디,20,과자,2004,옛날과자,옛날과자,200401
8809420070257,"순두부(정원푸드, 손맛,순두부,1kg)개","손맛순두부(1kg,정원푸드)",09,일배,0904,두부류,두부,090402
8806142703326,"와인(이탈리아,빌라엠,줄리아,750ml*12)개",빌라엠줄리아,15,주류,1503,"양주,와인",와인,150304
8801051014617,"칫솔(엘지,페리오,슬림앤클린,부드러운모,3+3)개",엘)페리오슬림앤클린부드러운모,21,H&BC,2101,구강,"치솔,치실",210102
8801039934869,"요리당(해표,메이플,올리고당,1.2kg*12)개",해표)메이플올리고당1.2kg,17,조미료,1701,감미료,올리고당류,170104
2100000310364,한라봉혼합세트,한라봉혼합세트,01,청과,0107,밀감,천혜향,010705
8809406953833,"옛날과자(서광,할로윈,캔디,111g)개",할로윈캔디,20,과자,2004,옛날과자,옛날과자,200401
2100000656653,"★낙지(장가,내장제거,2kg*2입,중국,냉동)개",장가)내장제거 낙지,08,수산냉동,0803,연체류,낙지,080303
201660,돼지항정살,돼지항정살,03,축산,0301,돈육,안심,030105
8809605900713,"삶은 막창(좋은사람,막창,슬라이스,2kg,냉장,국내산)개","좋은사람,삶은막창2kg",03,축산,0301,돈육,부산물,030109
2100000723218,"매트(천년,규투조,욕식발매트,그레이,대형)개",규토조욕식발매트대형,25,생활잡화,2509,잡화,잡화소품,250903
8801045299419,"간편식(오뚜기,옛날,사골곰탕,350ml*18)개",오뚜기)옛날사골곰탕350ml,18,조리가공,1802,대용식,즉석국,180203
8809253230309,마카로니(소마),마카로니(소마),20,과자,2004,옛날과자,옛날과자,200401
8801154601516,옥시크린1kg*2입,옥시크린1kg*2입,22,세제,2201,세탁세제,표백제,220105
2100000387120,"복어껍질(재호,S/L,자숙,500g*10p,중국산,냉동)개",재호)자숙복어껍질,08,수산냉동,0809,가공수산,기타,080901
8801117775001,오)스윙칩1500,오)스윙칩1500,20,과자,2001,스낵류,스낵,200101
2636470048006,게임박스(이어폰/전산),게임박스(이어폰/전산,25,생활잡화,2509,잡화,수수료,250902
8807225012045,"와인(노블메독,750ml)개",노블메독,15,주류,1503,"양주,와인",와인,150304
8803614884828,"행거(칠산,리틀HI-5행거별,4p)개",리틀HI-5별행거,25,생활잡화,2504,DIY용품,DIY소품,250401
8809290723963,탈랜트가스버너,탈랜트가스버너,24,주방잡화,2402,조리용품,가스렌지,240201
8801068050592,1500피자바게뜨,1500피자바게뜨,11,베이커리,1102,상온베이커리,일반빵,110201
8805194001312,"캔디(서광,옛날,사탕,800g*10)개",서광)옛날사탕,20,과자,2006,"캔디,껌,초콜릿",캔디,200603
8809045620219,"향신료(이슬나라,클로버분말,350g*12,상온)개",이슬나라)클로버분말,17,조미료,1706,향신료,기타,170602
8809456370314,"가전(C타입,가정용,급속,충전기,상온)개",케이티)C타입 가정용 급속충전기,25,생활잡화,2506,가전,가전,250601
2100000627806,"배세트(7.5kg,8과,box,국산)","배세트(7.5kg,8과,box,국산)",01,청과,0102,배,"배세트(7.5kg,7과,box)",010203
8809060478239,팔도강산구운김밥김100매,팔도)구운김밥김100매,07,수산건식,0707,김,조미김,070703
8809058410333,"잡화소품(더웰,대나무꽂이,소)개",대나무꽂이,25,생활잡화,2509,잡화,잡화소품,250903
