{'RPATH': 'example', 'UPATH': 'example', 'save': 'example_05', 'seed': 1156, 'lr': 0.0005, 'gpu': '3', 'ep': 500, 'lambda_': 0.5, 'epsilon': 0.2}
epoch : 131	 logprob : -111.71	 J : -8.66	 LOS : 335.2	 TPP(won) : 126475.37
epoch : 132	 logprob : -116.01	 J : 2.21	 LOS : 355.2	 TPP(won) : 170070.2
epoch : 133	 logprob : -119.45	 J : 0.17	 LOS : 371.0	 TPP(won) : 172482.23
epoch : 134	 logprob : -109.81	 J : -6.38	 LOS : 313.0	 TPP(won) : 122860.28
epoch : 135	 logprob : -120.85	 J : -5.93	 LOS : 366.8	 TPP(won) : 157035.47
epoch : 136	 logprob : -116.26	 J : 8.39	 LOS : 318.4	 TPP(won) : 164567.95
epoch : 137	 logprob : -125.9	 J : 2.34	 LOS : 371.2	 TPP(won) : 180651.31
epoch : 138	 logprob : -135.73	 J : -2.75	 LOS : 401.8	 TPP(won) : 182791.44
epoch : 139	 logprob : -132.74	 J : 8.12	 LOS : 369.4	 TPP(won) : 196471.4
epoch : 140	 logprob : -137.25	 J : 7.01	 LOS : 385.8	 TPP(won) : 201868.96
epoch : 141	 logprob : -128.29	 J : 5.98	 LOS : 359.2	 TPP(won) : 183167.86
epoch : 142	 logprob : -109.54	 J : 9.72	 LOS : 302.4	 TPP(won) : 158609.61
epoch : 143	 logprob : -132.87	 J : 2.07	 LOS : 403.6	 TPP(won) : 196731.58
epoch : 144	 logprob : -127.38	 J : 4.97	 LOS : 363.8	 TPP(won) : 184935.56
epoch : 145	 logprob : -120.46	 J : -5.56	 LOS : 336.2	 TPP(won) : 136618.29
epoch : 146	 logprob : -122.23	 J : 0.88	 LOS : 351.0	 TPP(won) : 165665.7
epoch : 147	 logprob : -119.14	 J : 16.72	 LOS : 304.6	 TPP(won) : 182176.03
epoch : 148	 logprob : -120.93	 J : 4.61	 LOS : 347.0	 TPP(won) : 174406.74
epoch : 149	 logprob : -107.35	 J : 7.34	 LOS : 318.8	 TPP(won) : 163599.05
epoch : 150	 logprob : -124.47	 J : 7.64	 LOS : 366.0	 TPP(won) : 193868.71
epoch : 151	 logprob : -121.61	 J : -0.35	 LOS : 398.6	 TPP(won) : 181815.87
epoch : 152	 logprob : -120.17	 J : 3.5	 LOS : 354.0	 TPP(won) : 176679.6
epoch : 153	 logprob : -102.97	 J : -3.5	 LOS : 314.4	 TPP(won) : 128248.59
epoch : 154	 logprob : -123.7	 J : -0.13	 LOS : 366.8	 TPP(won) : 172888.69
epoch : 155	 logprob : -106.04	 J : -0.54	 LOS : 318.4	 TPP(won) : 145904.14
epoch : 156	 logprob : -118.45	 J : 5.34	 LOS : 343.0	 TPP(won) : 176237.69
epoch : 157	 logprob : -106.3	 J : -2.99	 LOS : 327.4	 TPP(won) : 143159.63
